cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
10,fire,2,read,7.402486e-17,3.696348e-18,7.772121e-17,21
10,fire,3,rise,2.573263e-16,5.370738e-16,7.944000e-16,30
10,fire,3,write,3.611096e-15,1.230625e-13,1.266736e-13,11
10,fire,3,fall,-2.647655e-16,5.479208e-16,2.831553e-16,30
10,fire,3,read,7.402575e-17,3.696391e-18,7.772214e-17,21
10,fire,4,rise,2.573807e-16,5.374406e-16,7.948212e-16,30
10,fire,4,write,3.611180e-15,1.230788e-13,1.266900e-13,11
10,fire,4,fall,-2.648151e-16,5.483362e-16,2.835211e-16,30
10,fire,4,read,7.402760e-17,3.696482e-18,7.772408e-17,21
10,fire,5,rise,2.574489e-16,5.379010e-16,7.953499e-16,30
10,fire,5,write,3.611274e-15,1.230989e-13,1.267101e-13,11
10,fire,5,fall,-2.648747e-16,5.488364e-16,2.839618e-16,30
10,fire,5,read,7.403027e-17,3.696613e-18,7.772688e-17,21
10,fire,6,rise,2.575283e-16,5.384384e-16,7.959667e-16,30
10,fire,6,write,3.611374e-15,1.231219e-13,1.267333e-13,11
